[2024-02-19 15:55:19,089][root][INFO] - Experiment name: xgb_reg_da_w_action_no_day_norm_tune
[2024-02-19 16:32:25,056][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.267361
[2024-02-19 16:32:25,146][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003059 seconds
[2024-02-19 16:32:25,146][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.267361
[2024-02-19 16:32:25,205][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002984 seconds
[2024-02-19 16:32:25,205][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.267361
[2024-02-19 16:32:25,299][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003072 seconds
[2024-02-19 16:32:25,300][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.267361
[2024-02-19 16:32:25,391][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002878 seconds
[2024-02-19 16:32:25,391][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.267361
[2024-02-19 16:32:25,447][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002890 seconds
[2024-02-19 16:32:25,447][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.267361
[2024-02-19 16:32:25,592][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.056700 seconds
[2024-02-19 16:32:25,592][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.267361
[2024-02-19 16:32:25,682][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002828 seconds
[2024-02-19 16:32:25,683][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.267361
[2024-02-19 16:32:25,739][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002927 seconds
[2024-02-19 16:32:25,739][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.267361
[2024-02-19 16:32:25,830][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002970 seconds
[2024-02-19 16:32:25,830][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.267361
[2024-02-19 16:32:25,920][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002976 seconds
[2024-02-19 16:32:25,920][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.267361
[2024-02-19 16:32:25,977][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002956 seconds
[2024-02-19 16:32:25,977][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.267361
[2024-02-19 16:32:26,067][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002923 seconds
[2024-02-19 16:32:26,067][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.267361
[2024-02-19 16:32:26,141][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002896 seconds
[2024-02-19 16:32:26,141][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.267361
[2024-02-19 16:32:26,197][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002913 seconds
[2024-02-19 16:32:26,197][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.267361
[2024-02-19 16:32:26,290][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003078 seconds
[2024-02-19 16:32:26,290][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.267361
[2024-02-19 16:32:26,330][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002878 seconds
[2024-02-19 16:32:26,330][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.267361
[2024-02-19 16:32:26,420][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002903 seconds
[2024-02-19 16:32:26,420][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.267361
[2024-02-19 16:32:26,493][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002946 seconds
[2024-02-19 16:32:26,493][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.267361
[2024-02-19 16:32:26,550][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002816 seconds
[2024-02-19 16:32:26,550][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.267361
[2024-02-19 16:32:26,609][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002830 seconds
[2024-02-19 16:32:26,609][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.267361
[2024-02-19 16:32:26,699][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003014 seconds
[2024-02-19 16:32:26,699][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.267361
[2024-02-19 16:32:26,793][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002884 seconds
[2024-02-19 16:32:26,793][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.267361
[2024-02-19 16:32:26,900][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003038 seconds
[2024-02-19 16:32:26,901][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.267361
[2024-02-19 16:32:26,974][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002966 seconds
[2024-02-19 16:32:26,974][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.267361
[2024-02-19 16:32:27,030][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003071 seconds
[2024-02-19 16:32:27,030][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.267361
[2024-02-19 16:32:27,090][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002830 seconds
[2024-02-19 16:32:27,090][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.267361
[2024-02-19 16:32:27,181][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002919 seconds
[2024-02-19 16:32:27,181][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.267361
[2024-02-19 16:32:27,294][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002994 seconds
[2024-02-19 16:32:27,294][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.250693
[2024-02-19 16:32:27,417][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002873 seconds
[2024-02-19 16:32:27,417][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.167391
[2024-02-19 16:32:27,531][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002978 seconds
[2024-02-19 16:32:27,531][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.167391
[2024-02-19 16:32:27,648][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002981 seconds
[2024-02-19 16:32:27,648][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.167391
[2024-02-19 16:32:27,759][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002894 seconds
[2024-02-19 16:32:27,759][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.167391
[2024-02-19 16:32:27,876][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003013 seconds
[2024-02-19 16:32:27,876][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.167391
[2024-02-19 16:32:27,987][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002913 seconds
[2024-02-19 16:32:27,987][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.167391
[2024-02-19 16:32:28,098][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002874 seconds
[2024-02-19 16:32:28,098][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.167391
[2024-02-19 16:32:28,216][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003052 seconds
[2024-02-19 16:32:28,216][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.167391
[2024-02-19 16:32:28,328][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002825 seconds
[2024-02-19 16:32:28,328][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.167391
[2024-02-19 16:32:28,445][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003005 seconds
[2024-02-19 16:32:28,445][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.167391
[2024-02-19 16:32:28,556][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003017 seconds
[2024-02-19 16:32:28,556][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.167391
[2024-02-19 16:32:28,675][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002889 seconds
[2024-02-19 16:32:28,675][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.167391
[2024-02-19 16:32:28,750][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002851 seconds
[2024-02-19 16:32:28,751][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.167391
[2024-02-19 16:32:28,791][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002958 seconds
[2024-02-19 16:32:28,791][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.167391
[2024-02-19 16:32:28,902][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002980 seconds
[2024-02-19 16:32:28,902][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.167391
[2024-02-19 16:32:29,014][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002905 seconds
[2024-02-19 16:32:29,014][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.167391
[2024-02-19 16:32:29,131][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002990 seconds
[2024-02-19 16:32:29,131][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.167391
[2024-02-19 16:32:29,248][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002810 seconds
[2024-02-19 16:32:29,248][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.167391
[2024-02-19 16:32:29,367][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002917 seconds
[2024-02-19 16:32:29,367][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.167391
[2024-02-19 16:32:29,479][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003113 seconds
[2024-02-19 16:32:29,479][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.167391
[2024-02-19 16:32:29,595][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002856 seconds
[2024-02-19 16:32:29,595][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.165424
[2024-02-19 16:32:29,704][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002822 seconds
[2024-02-19 16:32:29,704][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.165424
[2024-02-19 16:32:29,744][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002934 seconds
[2024-02-19 16:32:29,744][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.165424
[2024-02-19 16:32:29,867][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.048393 seconds
[2024-02-19 16:32:29,868][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.165424
[2024-02-19 16:32:29,977][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002835 seconds
[2024-02-19 16:32:29,977][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.165424
[2024-02-19 16:32:30,086][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003007 seconds
[2024-02-19 16:32:30,086][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.165424
[2024-02-19 16:32:30,195][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002904 seconds
[2024-02-19 16:32:30,195][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.165424
[2024-02-19 16:32:30,238][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002945 seconds
[2024-02-19 16:32:30,238][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.165424
[2024-02-19 16:32:30,316][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002949 seconds
[2024-02-19 16:32:30,316][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.165424
[2024-02-19 16:32:30,426][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002813 seconds
[2024-02-19 16:32:30,426][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.165424
[2024-02-19 16:32:30,546][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002944 seconds
[2024-02-19 16:32:30,546][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.165424
[2024-02-19 16:32:30,664][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002902 seconds
[2024-02-19 16:32:30,664][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.164115
[2024-02-19 16:32:30,705][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002975 seconds
[2024-02-19 16:32:30,705][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.164115
[2024-02-19 16:32:30,780][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002822 seconds
[2024-02-19 16:32:30,780][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.164115
[2024-02-19 16:32:30,893][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002849 seconds
[2024-02-19 16:32:30,894][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.164115
[2024-02-19 16:32:31,009][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002984 seconds
[2024-02-19 16:32:31,009][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.164115
[2024-02-19 16:32:31,068][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002957 seconds
[2024-02-19 16:32:31,068][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.164115
[2024-02-19 16:32:31,178][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002986 seconds
[2024-02-19 16:32:31,178][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.164115
[2024-02-19 16:32:31,287][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003086 seconds
[2024-02-19 16:32:31,287][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.164115
[2024-02-19 16:32:31,328][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002876 seconds
[2024-02-19 16:32:31,328][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.164115
[2024-02-19 16:32:31,404][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002833 seconds
[2024-02-19 16:32:31,405][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.164115
[2024-02-19 16:32:31,464][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002819 seconds
[2024-02-19 16:32:31,464][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.164115
[2024-02-19 16:32:31,575][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003003 seconds
[2024-02-19 16:32:31,575][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.164115
[2024-02-19 16:32:31,686][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002851 seconds
[2024-02-19 16:32:31,686][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.164115
[2024-02-19 16:32:31,795][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002963 seconds
[2024-02-19 16:32:31,795][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.164115
[2024-02-19 16:32:31,887][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002954 seconds
[2024-02-19 16:32:31,887][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.164115
[2024-02-19 16:32:31,998][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002839 seconds
[2024-02-19 16:32:31,998][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.164115
[2024-02-19 16:32:32,058][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003023 seconds
[2024-02-19 16:32:32,058][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.164115
[2024-02-19 16:32:32,099][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002905 seconds
[2024-02-19 16:32:32,099][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.164115
[2024-02-19 16:32:32,211][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002967 seconds
[2024-02-19 16:32:32,211][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.164115
[2024-02-19 16:32:32,286][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003092 seconds
[2024-02-19 16:32:32,287][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.164115
[2024-02-19 16:32:32,396][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003003 seconds
[2024-02-19 16:32:32,396][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.164115
[2024-02-19 16:32:32,490][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003001 seconds
[2024-02-19 16:32:32,490][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.164115
[2024-02-19 16:32:32,601][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002967 seconds
[2024-02-19 16:32:32,602][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.164115
[2024-02-19 16:32:32,730][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003014 seconds
[2024-02-19 16:32:32,730][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.164115
[2024-02-19 16:32:32,789][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003075 seconds
[2024-02-19 16:32:32,790][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.164115
[2024-02-19 16:32:32,904][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002965 seconds
[2024-02-19 16:32:32,905][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.164115
[2024-02-19 16:32:32,946][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003001 seconds
[2024-02-19 16:32:32,946][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.164115
[2024-02-19 16:32:33,024][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002987 seconds
[2024-02-19 16:32:33,024][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.164115
[2024-02-19 16:32:33,135][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002836 seconds
[2024-02-19 16:32:33,135][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.164115
[2024-02-19 16:32:33,251][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002890 seconds
[2024-02-19 16:32:33,252][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.164115
[2024-02-19 16:32:33,344][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002828 seconds
[2024-02-19 16:32:33,345][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.164115
[2024-02-19 16:32:33,460][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002824 seconds
[2024-02-19 16:32:33,460][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.164115
[2024-02-19 16:32:33,521][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002934 seconds
[2024-02-19 16:32:33,521][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.164115
[2024-02-19 16:32:33,632][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003012 seconds
[2024-02-19 16:32:33,632][hyperopt.tpe][INFO] - TPE using 113/113 trials with best loss 0.164115
[2024-02-19 16:32:33,673][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002949 seconds
[2024-02-19 16:32:33,673][hyperopt.tpe][INFO] - TPE using 114/114 trials with best loss 0.164115
[2024-02-19 16:32:33,750][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002864 seconds
[2024-02-19 16:32:33,751][hyperopt.tpe][INFO] - TPE using 115/115 trials with best loss 0.164115
[2024-02-19 16:32:33,859][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002900 seconds
[2024-02-19 16:32:33,860][hyperopt.tpe][INFO] - TPE using 116/116 trials with best loss 0.164115
[2024-02-19 16:32:33,951][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002961 seconds
[2024-02-19 16:32:33,951][hyperopt.tpe][INFO] - TPE using 117/117 trials with best loss 0.164115
[2024-02-19 16:32:34,064][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002815 seconds
[2024-02-19 16:32:34,064][hyperopt.tpe][INFO] - TPE using 118/118 trials with best loss 0.164115
[2024-02-19 16:32:34,180][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002855 seconds
[2024-02-19 16:32:34,180][hyperopt.tpe][INFO] - TPE using 119/119 trials with best loss 0.164115
[2024-02-19 16:32:34,294][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002990 seconds
[2024-02-19 16:32:34,294][hyperopt.tpe][INFO] - TPE using 120/120 trials with best loss 0.164115
[2024-02-19 16:32:34,351][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002798 seconds
[2024-02-19 16:32:34,351][hyperopt.tpe][INFO] - TPE using 121/121 trials with best loss 0.164115
[2024-02-19 16:32:34,391][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002843 seconds
[2024-02-19 16:32:34,391][hyperopt.tpe][INFO] - TPE using 122/122 trials with best loss 0.164115
[2024-02-19 16:32:34,467][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002958 seconds
[2024-02-19 16:32:34,467][hyperopt.tpe][INFO] - TPE using 123/123 trials with best loss 0.164115
[2024-02-19 16:32:34,580][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002868 seconds
[2024-02-19 16:32:34,580][hyperopt.tpe][INFO] - TPE using 124/124 trials with best loss 0.164115
[2024-02-19 16:32:34,671][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003022 seconds
[2024-02-19 16:32:34,672][hyperopt.tpe][INFO] - TPE using 125/125 trials with best loss 0.164115
[2024-02-19 16:32:34,784][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002892 seconds
[2024-02-19 16:32:34,785][hyperopt.tpe][INFO] - TPE using 126/126 trials with best loss 0.164115
[2024-02-19 16:32:34,894][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002936 seconds
[2024-02-19 16:32:34,894][hyperopt.tpe][INFO] - TPE using 127/127 trials with best loss 0.164115
