[2024-01-23 11:00:14,656][root][INFO] - Experiment name: xgb_regression_da_and_d1_hyperopt_tune_with_elastic_net
[2024-01-23 11:00:22,257][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002166 seconds
[2024-01-23 11:00:22,257][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.263824
[2024-01-23 11:00:22,388][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002224 seconds
[2024-01-23 11:00:22,388][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.263824
[2024-01-23 11:00:22,534][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002183 seconds
[2024-01-23 11:00:22,534][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.263824
[2024-01-23 11:00:22,645][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-01-23 11:00:22,646][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.263824
[2024-01-23 11:00:22,794][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002184 seconds
[2024-01-23 11:00:22,794][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.263824
[2024-01-23 11:00:22,926][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002227 seconds
[2024-01-23 11:00:22,927][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.263824
[2024-01-23 11:00:23,014][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002116 seconds
[2024-01-23 11:00:23,015][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.263824
[2024-01-23 11:00:23,164][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002149 seconds
[2024-01-23 11:00:23,164][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.263824
[2024-01-23 11:00:23,211][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002203 seconds
[2024-01-23 11:00:23,212][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.263824
[2024-01-23 11:00:23,268][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002197 seconds
[2024-01-23 11:00:23,268][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.263824
[2024-01-23 11:00:23,349][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002132 seconds
[2024-01-23 11:00:23,350][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.263824
[2024-01-23 11:00:23,476][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002157 seconds
[2024-01-23 11:00:23,476][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.263824
[2024-01-23 11:00:23,595][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002183 seconds
[2024-01-23 11:00:23,595][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.263824
[2024-01-23 11:00:23,689][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002102 seconds
[2024-01-23 11:00:23,689][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.263824
[2024-01-23 11:00:23,738][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002064 seconds
[2024-01-23 11:00:23,739][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.263824
[2024-01-23 11:00:23,807][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002346 seconds
[2024-01-23 11:00:23,808][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.263824
[2024-01-23 11:00:23,983][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002172 seconds
[2024-01-23 11:00:23,983][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.263824
[2024-01-23 11:00:24,115][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002206 seconds
[2024-01-23 11:00:24,115][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.263824
[2024-01-23 11:00:24,212][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002177 seconds
[2024-01-23 11:00:24,212][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.263824
[2024-01-23 11:00:24,334][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002354 seconds
[2024-01-23 11:00:24,334][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.263824
[2024-01-23 11:00:24,468][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002179 seconds
[2024-01-23 11:00:24,468][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.263824
[2024-01-23 11:00:24,519][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002202 seconds
[2024-01-23 11:00:24,519][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.263824
[2024-01-23 11:00:24,570][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002260 seconds
[2024-01-23 11:00:24,571][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.263824
[2024-01-23 11:00:24,707][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002251 seconds
[2024-01-23 11:00:24,707][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.263824
[2024-01-23 11:00:24,786][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002205 seconds
[2024-01-23 11:00:24,786][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.263824
[2024-01-23 11:00:24,881][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002202 seconds
[2024-01-23 11:00:24,881][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.263824
[2024-01-23 11:00:24,992][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002182 seconds
[2024-01-23 11:00:24,993][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.263824
[2024-01-23 11:00:25,126][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002255 seconds
[2024-01-23 11:00:25,127][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.263824
[2024-01-23 11:00:25,273][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002198 seconds
[2024-01-23 11:00:25,273][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.263824
[2024-01-23 11:00:25,409][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002204 seconds
[2024-01-23 11:00:25,409][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.263824
[2024-01-23 11:00:25,564][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002208 seconds
[2024-01-23 11:00:25,564][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.263824
[2024-01-23 11:00:25,658][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002183 seconds
[2024-01-23 11:00:25,658][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.263824
[2024-01-23 11:00:25,806][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002118 seconds
[2024-01-23 11:00:25,807][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.263824
[2024-01-23 11:00:25,916][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002142 seconds
[2024-01-23 11:00:25,916][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.263824
[2024-01-23 11:00:26,064][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002076 seconds
[2024-01-23 11:00:26,064][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.263824
[2024-01-23 11:00:26,213][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002218 seconds
[2024-01-23 11:00:26,213][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.263824
[2024-01-23 11:00:26,304][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002217 seconds
[2024-01-23 11:00:26,304][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.263824
[2024-01-23 11:00:26,394][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002249 seconds
[2024-01-23 11:00:26,395][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.263824
[2024-01-23 11:00:26,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002224 seconds
[2024-01-23 11:00:26,493][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.263824
[2024-01-23 11:00:26,585][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002268 seconds
[2024-01-23 11:00:26,585][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.263824
[2024-01-23 11:00:26,633][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002195 seconds
[2024-01-23 11:00:26,633][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.263824
[2024-01-23 11:00:26,798][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002232 seconds
[2024-01-23 11:00:26,798][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.263824
[2024-01-23 11:00:26,855][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002195 seconds
[2024-01-23 11:00:26,855][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.263824
[2024-01-23 11:00:26,904][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002323 seconds
[2024-01-23 11:00:26,905][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.263824
[2024-01-23 11:00:26,984][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002201 seconds
[2024-01-23 11:00:26,985][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.263824
[2024-01-23 11:00:27,109][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002259 seconds
[2024-01-23 11:00:27,109][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.263824
[2024-01-23 11:00:27,189][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002197 seconds
[2024-01-23 11:00:27,189][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.263824
[2024-01-23 11:00:27,268][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002191 seconds
[2024-01-23 11:00:27,269][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.263824
[2024-01-23 11:00:27,364][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002210 seconds
[2024-01-23 11:00:27,365][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.263824
[2024-01-23 11:00:27,460][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002207 seconds
[2024-01-23 11:00:27,461][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.263824
[2024-01-23 11:00:27,596][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002251 seconds
[2024-01-23 11:00:27,596][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.263824
[2024-01-23 11:00:27,732][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002280 seconds
[2024-01-23 11:00:27,732][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.263824
[2024-01-23 11:00:27,880][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002197 seconds
[2024-01-23 11:00:27,881][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.263824
[2024-01-23 11:00:28,004][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002208 seconds
[2024-01-23 11:00:28,004][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.263824
[2024-01-23 11:00:28,100][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002193 seconds
[2024-01-23 11:00:28,101][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.263824
[2024-01-23 11:00:28,197][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002234 seconds
[2024-01-23 11:00:28,198][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.263824
[2024-01-23 11:00:28,295][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002188 seconds
[2024-01-23 11:00:28,295][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.263824
[2024-01-23 11:00:28,445][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002277 seconds
[2024-01-23 11:00:28,446][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.263824
[2024-01-23 11:00:28,617][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.059654 seconds
[2024-01-23 11:00:28,617][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.263824
[2024-01-23 11:00:28,765][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002501 seconds
[2024-01-23 11:00:28,765][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.263824
[2024-01-23 11:00:28,919][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002278 seconds
[2024-01-23 11:00:28,919][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.263824
[2024-01-23 11:00:29,011][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002263 seconds
[2024-01-23 11:00:29,011][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.263824
[2024-01-23 11:00:29,093][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002269 seconds
[2024-01-23 11:00:29,093][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.263824
[2024-01-23 11:00:29,184][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002306 seconds
[2024-01-23 11:00:29,185][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.263824
[2024-01-23 11:00:29,275][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002282 seconds
[2024-01-23 11:00:29,275][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.263824
[2024-01-23 11:00:29,369][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002270 seconds
[2024-01-23 11:00:29,370][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.263824
[2024-01-23 11:00:29,462][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002277 seconds
[2024-01-23 11:00:29,463][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.263824
[2024-01-23 11:00:29,512][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002236 seconds
[2024-01-23 11:00:29,512][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.263824
[2024-01-23 11:00:29,568][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002255 seconds
[2024-01-23 11:00:29,569][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.263824
[2024-01-23 11:00:29,624][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002256 seconds
[2024-01-23 11:00:29,624][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.263824
[2024-01-23 11:00:29,682][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002276 seconds
[2024-01-23 11:00:29,682][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.263824
[2024-01-23 11:00:29,854][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002247 seconds
[2024-01-23 11:00:29,854][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.263824
[2024-01-23 11:00:29,905][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002279 seconds
[2024-01-23 11:00:29,905][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.263824
[2024-01-23 11:00:29,955][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002287 seconds
[2024-01-23 11:00:29,956][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.263824
[2024-01-23 11:00:30,081][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002251 seconds
[2024-01-23 11:00:30,081][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.263824
[2024-01-23 11:00:30,204][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002286 seconds
[2024-01-23 11:00:30,205][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.263824
[2024-01-23 11:00:30,328][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002287 seconds
[2024-01-23 11:00:30,329][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.263824
[2024-01-23 11:00:30,408][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002277 seconds
[2024-01-23 11:00:30,408][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.263824
[2024-01-23 11:00:30,506][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002375 seconds
[2024-01-23 11:00:30,506][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.263824
[2024-01-23 11:00:30,602][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002298 seconds
[2024-01-23 11:00:30,603][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.263824
[2024-01-23 11:00:30,700][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002242 seconds
[2024-01-23 11:00:30,700][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.263824
[2024-01-23 11:00:30,796][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002270 seconds
[2024-01-23 11:00:30,796][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.263824
[2024-01-23 11:00:30,932][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002279 seconds
[2024-01-23 11:00:30,932][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.263824
[2024-01-23 11:00:31,067][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002255 seconds
[2024-01-23 11:00:31,067][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.263824
[2024-01-23 11:00:31,216][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002270 seconds
[2024-01-23 11:00:31,217][hyperopt.tpe][INFO] - TPE using 113/113 trials with best loss 0.263824
[2024-01-23 11:00:31,341][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-01-23 11:00:31,341][hyperopt.tpe][INFO] - TPE using 114/114 trials with best loss 0.263824
[2024-01-23 11:00:31,443][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002258 seconds
[2024-01-23 11:00:31,443][hyperopt.tpe][INFO] - TPE using 115/115 trials with best loss 0.263824
[2024-01-23 11:00:31,562][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002264 seconds
[2024-01-23 11:00:31,563][hyperopt.tpe][INFO] - TPE using 116/116 trials with best loss 0.263824
[2024-01-23 11:00:31,658][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002273 seconds
[2024-01-23 11:00:31,658][hyperopt.tpe][INFO] - TPE using 117/117 trials with best loss 0.263824
[2024-01-23 11:00:31,758][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002256 seconds
[2024-01-23 11:00:31,758][hyperopt.tpe][INFO] - TPE using 118/118 trials with best loss 0.263824
[2024-01-23 11:00:31,857][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002240 seconds
[2024-01-23 11:00:31,857][hyperopt.tpe][INFO] - TPE using 119/119 trials with best loss 0.263824
[2024-01-23 11:00:31,984][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002293 seconds
[2024-01-23 11:00:31,984][hyperopt.tpe][INFO] - TPE using 120/120 trials with best loss 0.263824
[2024-01-23 11:00:32,149][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002272 seconds
[2024-01-23 11:00:32,149][hyperopt.tpe][INFO] - TPE using 121/121 trials with best loss 0.263824
[2024-01-23 11:00:32,287][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002351 seconds
[2024-01-23 11:00:32,288][hyperopt.tpe][INFO] - TPE using 122/122 trials with best loss 0.263824
[2024-01-23 11:00:32,403][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002285 seconds
[2024-01-23 11:00:32,403][hyperopt.tpe][INFO] - TPE using 123/123 trials with best loss 0.263824
[2024-01-23 11:00:32,553][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002338 seconds
[2024-01-23 11:00:32,553][hyperopt.tpe][INFO] - TPE using 124/124 trials with best loss 0.263824
[2024-01-23 11:00:32,630][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002279 seconds
[2024-01-23 11:00:32,631][hyperopt.tpe][INFO] - TPE using 125/125 trials with best loss 0.263824
[2024-01-23 11:00:32,723][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-01-23 11:00:32,723][hyperopt.tpe][INFO] - TPE using 126/126 trials with best loss 0.263824
[2024-01-23 11:00:32,804][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002279 seconds
[2024-01-23 11:00:32,804][hyperopt.tpe][INFO] - TPE using 127/127 trials with best loss 0.263824
[2024-01-23 11:00:32,896][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002305 seconds
[2024-01-23 11:00:32,897][hyperopt.tpe][INFO] - TPE using 128/128 trials with best loss 0.263824
[2024-01-23 11:00:32,978][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002265 seconds
[2024-01-23 11:00:32,978][hyperopt.tpe][INFO] - TPE using 129/129 trials with best loss 0.263824
[2024-01-23 11:00:33,068][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002213 seconds
[2024-01-23 11:00:33,068][hyperopt.tpe][INFO] - TPE using 130/130 trials with best loss 0.263824
[2024-01-23 11:00:33,158][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002241 seconds
[2024-01-23 11:00:33,158][hyperopt.tpe][INFO] - TPE using 131/131 trials with best loss 0.263824
[2024-01-23 11:00:33,207][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002174 seconds
[2024-01-23 11:00:33,207][hyperopt.tpe][INFO] - TPE using 132/132 trials with best loss 0.263824
