[2024-01-02 15:06:55,422][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tune_no_reg
[2024-01-02 15:07:04,945][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001712 seconds
[2024-01-02 15:07:04,945][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.203589
[2024-01-02 15:07:05,102][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001779 seconds
[2024-01-02 15:07:05,102][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.203589
[2024-01-02 15:07:05,283][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001737 seconds
[2024-01-02 15:07:05,284][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.203589
[2024-01-02 15:07:05,382][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001746 seconds
[2024-01-02 15:07:05,382][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.203589
[2024-01-02 15:07:05,456][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001717 seconds
[2024-01-02 15:07:05,457][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.203589
[2024-01-02 15:07:05,612][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001737 seconds
[2024-01-02 15:07:05,612][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.203589
[2024-01-02 15:07:05,762][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001739 seconds
[2024-01-02 15:07:05,762][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.203589
[2024-01-02 15:07:05,923][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001741 seconds
[2024-01-02 15:07:05,923][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.203589
[2024-01-02 15:07:06,077][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001724 seconds
[2024-01-02 15:07:06,077][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.203589
[2024-01-02 15:07:06,141][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001735 seconds
[2024-01-02 15:07:06,141][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.203589
[2024-01-02 15:07:06,253][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001739 seconds
[2024-01-02 15:07:06,253][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.203589
[2024-01-02 15:07:06,421][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-02 15:07:06,421][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.203589
[2024-01-02 15:07:06,559][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-02 15:07:06,560][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.203589
[2024-01-02 15:07:06,708][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-02 15:07:06,708][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.203589
[2024-01-02 15:07:06,775][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001864 seconds
[2024-01-02 15:07:06,775][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.203589
[2024-01-02 15:07:06,967][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001780 seconds
[2024-01-02 15:07:06,967][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.203589
[2024-01-02 15:07:07,096][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001718 seconds
[2024-01-02 15:07:07,096][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.203589
[2024-01-02 15:07:07,256][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001743 seconds
[2024-01-02 15:07:07,257][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.203589
[2024-01-02 15:07:07,405][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:07,405][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.203589
[2024-01-02 15:07:07,483][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-02 15:07:07,484][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.203589
[2024-01-02 15:07:07,607][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001706 seconds
[2024-01-02 15:07:07,607][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.203589
[2024-01-02 15:07:07,765][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-02 15:07:07,765][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.203589
[2024-01-02 15:07:07,923][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001730 seconds
[2024-01-02 15:07:07,924][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.203589
[2024-01-02 15:07:08,081][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-02 15:07:08,081][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.203589
[2024-01-02 15:07:08,239][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001741 seconds
[2024-01-02 15:07:08,239][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.203589
[2024-01-02 15:07:08,396][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-02 15:07:08,397][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.203589
[2024-01-02 15:07:08,559][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001741 seconds
[2024-01-02 15:07:08,559][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.203589
[2024-01-02 15:07:08,677][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-02 15:07:08,677][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.203589
[2024-01-02 15:07:08,821][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-02 15:07:08,822][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.203589
[2024-01-02 15:07:09,013][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-02 15:07:09,013][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.203589
[2024-01-02 15:07:09,194][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:09,194][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.203589
[2024-01-02 15:07:09,311][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001769 seconds
[2024-01-02 15:07:09,311][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.203589
[2024-01-02 15:07:09,462][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
[2024-01-02 15:07:09,462][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.203589
[2024-01-02 15:07:09,506][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-02 15:07:09,506][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.203589
[2024-01-02 15:07:09,700][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-02 15:07:09,700][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.203589
[2024-01-02 15:07:09,852][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:09,852][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.136246
[2024-01-02 15:07:09,993][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001763 seconds
[2024-01-02 15:07:09,993][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.136246
[2024-01-02 15:07:10,155][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:10,156][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.136246
[2024-01-02 15:07:10,368][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001743 seconds
[2024-01-02 15:07:10,368][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.136246
[2024-01-02 15:07:10,521][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001744 seconds
[2024-01-02 15:07:10,521][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.136246
[2024-01-02 15:07:10,707][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001733 seconds
[2024-01-02 15:07:10,708][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.136246
[2024-01-02 15:07:10,860][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001835 seconds
[2024-01-02 15:07:10,861][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.136246
[2024-01-02 15:07:10,945][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001739 seconds
[2024-01-02 15:07:10,945][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.136246
[2024-01-02 15:07:11,097][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001765 seconds
[2024-01-02 15:07:11,097][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.136246
[2024-01-02 15:07:11,284][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-02 15:07:11,285][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.136246
[2024-01-02 15:07:11,341][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-02 15:07:11,341][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.136246
[2024-01-02 15:07:11,494][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001756 seconds
[2024-01-02 15:07:11,494][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.136246
[2024-01-02 15:07:11,615][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001769 seconds
[2024-01-02 15:07:11,615][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.136246
[2024-01-02 15:07:11,800][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-02 15:07:11,800][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.136246
[2024-01-02 15:07:11,884][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-02 15:07:11,885][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.136246
[2024-01-02 15:07:12,037][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001752 seconds
[2024-01-02 15:07:12,037][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.136246
[2024-01-02 15:07:12,089][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-02 15:07:12,090][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.136246
[2024-01-02 15:07:12,244][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-02 15:07:12,245][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.136246
[2024-01-02 15:07:12,448][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001766 seconds
[2024-01-02 15:07:12,448][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.136246
[2024-01-02 15:07:12,554][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001875 seconds
[2024-01-02 15:07:12,555][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.136246
[2024-01-02 15:07:12,679][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-02 15:07:12,679][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.136246
[2024-01-02 15:07:12,747][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-02 15:07:12,747][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.136246
[2024-01-02 15:07:12,897][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001758 seconds
[2024-01-02 15:07:12,897][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.136246
[2024-01-02 15:07:12,954][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:12,955][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.136246
[2024-01-02 15:07:13,104][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001749 seconds
[2024-01-02 15:07:13,104][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.136246
[2024-01-02 15:07:13,292][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-02 15:07:13,292][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.136246
[2024-01-02 15:07:13,376][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:13,376][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.136246
[2024-01-02 15:07:13,508][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-02 15:07:13,508][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.136246
[2024-01-02 15:07:13,584][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
[2024-01-02 15:07:13,584][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.136246
[2024-01-02 15:07:13,787][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001731 seconds
[2024-01-02 15:07:13,787][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.136246
[2024-01-02 15:07:13,844][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001751 seconds
[2024-01-02 15:07:13,844][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.136246
[2024-01-02 15:07:13,997][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001729 seconds
[2024-01-02 15:07:13,997][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.136246
[2024-01-02 15:07:14,098][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001747 seconds
[2024-01-02 15:07:14,098][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.136246
[2024-01-02 15:07:14,222][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001734 seconds
[2024-01-02 15:07:14,222][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.136246
[2024-01-02 15:07:14,363][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001727 seconds
[2024-01-02 15:07:14,363][hyperopt.tpe][INFO] - TPE using 113/113 trials with best loss 0.136246
[2024-01-02 15:07:14,447][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001722 seconds
[2024-01-02 15:07:14,447][hyperopt.tpe][INFO] - TPE using 114/114 trials with best loss 0.136246
[2024-01-02 15:07:14,609][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001730 seconds
[2024-01-02 15:07:14,664][hyperopt.tpe][INFO] - TPE using 115/115 trials with best loss 0.136246
[2024-01-02 15:07:14,820][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001721 seconds
[2024-01-02 15:07:14,821][hyperopt.tpe][INFO] - TPE using 116/116 trials with best loss 0.136246
[2024-01-02 15:07:14,871][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001738 seconds
[2024-01-02 15:07:14,871][hyperopt.tpe][INFO] - TPE using 117/117 trials with best loss 0.136246
[2024-01-02 15:07:14,995][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001714 seconds
[2024-01-02 15:07:14,995][hyperopt.tpe][INFO] - TPE using 118/118 trials with best loss 0.136246
[2024-01-02 15:07:15,082][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001723 seconds
[2024-01-02 15:07:15,082][hyperopt.tpe][INFO] - TPE using 119/119 trials with best loss 0.136246
[2024-01-02 15:07:15,250][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001714 seconds
[2024-01-02 15:07:15,250][hyperopt.tpe][INFO] - TPE using 120/120 trials with best loss 0.136246
[2024-01-02 15:07:15,335][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001725 seconds
[2024-01-02 15:07:15,335][hyperopt.tpe][INFO] - TPE using 121/121 trials with best loss 0.136246
[2024-01-02 15:07:15,486][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001718 seconds
[2024-01-02 15:07:15,487][hyperopt.tpe][INFO] - TPE using 122/122 trials with best loss 0.136246
[2024-01-02 15:07:15,672][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001741 seconds
[2024-01-02 15:07:15,672][hyperopt.tpe][INFO] - TPE using 123/123 trials with best loss 0.136246
[2024-01-02 15:07:15,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001718 seconds
[2024-01-02 15:07:15,819][hyperopt.tpe][INFO] - TPE using 124/124 trials with best loss 0.136246
[2024-01-02 15:07:15,863][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001722 seconds
[2024-01-02 15:07:15,863][hyperopt.tpe][INFO] - TPE using 125/125 trials with best loss 0.136246
[2024-01-02 15:07:15,968][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001723 seconds
[2024-01-02 15:07:15,969][hyperopt.tpe][INFO] - TPE using 126/126 trials with best loss 0.136246
[2024-01-02 15:07:16,110][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001721 seconds
[2024-01-02 15:07:16,110][hyperopt.tpe][INFO] - TPE using 127/127 trials with best loss 0.136246
[2024-01-02 15:07:16,187][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001714 seconds
[2024-01-02 15:07:16,187][hyperopt.tpe][INFO] - TPE using 128/128 trials with best loss 0.136246
[2024-01-02 15:07:16,331][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001736 seconds
[2024-01-02 15:07:16,332][hyperopt.tpe][INFO] - TPE using 129/129 trials with best loss 0.136246
[2024-01-02 15:07:16,509][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001719 seconds
[2024-01-02 15:07:16,509][hyperopt.tpe][INFO] - TPE using 130/130 trials with best loss 0.136246
[2024-01-02 15:07:16,695][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001725 seconds
[2024-01-02 15:07:16,695][hyperopt.tpe][INFO] - TPE using 131/131 trials with best loss 0.136246
[2024-01-02 15:07:16,745][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:16,745][hyperopt.tpe][INFO] - TPE using 132/132 trials with best loss 0.136246
