[2024-01-01 12:09:08,569][root][INFO] - Experiment name: xgb_regression_da_and_d2_only_hyperopt_tune_no_reg
[2024-01-01 12:09:20,867][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-01 12:09:20,867][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.270361
[2024-01-01 12:09:20,961][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001734 seconds
[2024-01-01 12:09:20,961][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.270361
[2024-01-01 12:09:21,058][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001748 seconds
[2024-01-01 12:09:21,059][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.270361
[2024-01-01 12:09:21,152][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-01 12:09:21,152][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.270361
[2024-01-01 12:09:21,247][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001733 seconds
[2024-01-01 12:09:21,247][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.270361
[2024-01-01 12:09:21,341][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001795 seconds
[2024-01-01 12:09:21,341][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.270361
[2024-01-01 12:09:21,436][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-01 12:09:21,436][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.270361
[2024-01-01 12:09:21,534][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001914 seconds
[2024-01-01 12:09:21,534][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.270361
[2024-01-01 12:09:21,634][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
[2024-01-01 12:09:21,634][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.270361
[2024-01-01 12:09:21,732][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001739 seconds
[2024-01-01 12:09:21,733][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.270361
[2024-01-01 12:09:21,826][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001749 seconds
[2024-01-01 12:09:21,826][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.270361
[2024-01-01 12:09:21,913][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001815 seconds
[2024-01-01 12:09:21,914][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.270361
[2024-01-01 12:09:22,003][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001757 seconds
[2024-01-01 12:09:22,003][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.270361
[2024-01-01 12:09:22,068][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-01 12:09:22,068][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.270361
[2024-01-01 12:09:22,159][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-01 12:09:22,159][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.270361
[2024-01-01 12:09:22,221][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001752 seconds
[2024-01-01 12:09:22,221][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.270361
[2024-01-01 12:09:22,307][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001752 seconds
[2024-01-01 12:09:22,308][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.270361
[2024-01-01 12:09:22,415][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001806 seconds
[2024-01-01 12:09:22,415][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.270361
[2024-01-01 12:09:22,586][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001786 seconds
[2024-01-01 12:09:22,586][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.270361
[2024-01-01 12:09:22,631][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001763 seconds
[2024-01-01 12:09:22,631][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.270361
[2024-01-01 12:09:22,727][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001778 seconds
[2024-01-01 12:09:22,727][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.270361
[2024-01-01 12:09:22,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001745 seconds
[2024-01-01 12:09:22,819][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.270361
[2024-01-01 12:09:22,917][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-01 12:09:22,918][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.270361
[2024-01-01 12:09:23,071][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001834 seconds
[2024-01-01 12:09:23,071][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.270361
[2024-01-01 12:09:23,245][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.050803 seconds
[2024-01-01 12:09:23,245][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.270361
[2024-01-01 12:09:23,291][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001763 seconds
[2024-01-01 12:09:23,291][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.270361
[2024-01-01 12:09:23,377][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001799 seconds
[2024-01-01 12:09:23,377][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.270361
[2024-01-01 12:09:23,462][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001791 seconds
[2024-01-01 12:09:23,463][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.270361
[2024-01-01 12:09:23,669][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001775 seconds
[2024-01-01 12:09:23,670][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.270361
[2024-01-01 12:09:23,773][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-01 12:09:23,773][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.269378
[2024-01-01 12:09:23,833][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001777 seconds
[2024-01-01 12:09:23,834][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.269378
[2024-01-01 12:09:23,937][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001762 seconds
[2024-01-01 12:09:23,937][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.269378
[2024-01-01 12:09:24,002][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-01 12:09:24,003][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.269378
[2024-01-01 12:09:24,095][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001751 seconds
[2024-01-01 12:09:24,096][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.269378
[2024-01-01 12:09:24,266][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001793 seconds
[2024-01-01 12:09:24,267][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.269378
[2024-01-01 12:09:24,382][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-01 12:09:24,382][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.269378
[2024-01-01 12:09:24,454][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001785 seconds
[2024-01-01 12:09:24,454][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.268660
[2024-01-01 12:09:24,517][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001772 seconds
[2024-01-01 12:09:24,517][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.268660
[2024-01-01 12:09:24,584][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001785 seconds
[2024-01-01 12:09:24,584][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.268660
[2024-01-01 12:09:24,629][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001766 seconds
[2024-01-01 12:09:24,629][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.268660
[2024-01-01 12:09:24,688][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-01 12:09:24,688][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.268660
[2024-01-01 12:09:24,759][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001775 seconds
[2024-01-01 12:09:24,760][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.268660
[2024-01-01 12:09:24,834][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001796 seconds
[2024-01-01 12:09:24,834][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.268660
[2024-01-01 12:09:24,903][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001775 seconds
[2024-01-01 12:09:24,903][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.268660
[2024-01-01 12:09:24,955][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001792 seconds
[2024-01-01 12:09:24,955][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.268660
[2024-01-01 12:09:25,027][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001775 seconds
[2024-01-01 12:09:25,028][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.268660
[2024-01-01 12:09:25,088][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-01 12:09:25,088][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.268660
[2024-01-01 12:09:25,144][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001774 seconds
[2024-01-01 12:09:25,144][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.268660
[2024-01-01 12:09:25,189][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001801 seconds
[2024-01-01 12:09:25,189][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.268660
[2024-01-01 12:09:25,243][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001749 seconds
[2024-01-01 12:09:25,243][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.268660
[2024-01-01 12:09:25,318][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001774 seconds
[2024-01-01 12:09:25,318][hyperopt.tpe][INFO] - TPE using 113/113 trials with best loss 0.268660
[2024-01-01 12:09:25,394][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001777 seconds
[2024-01-01 12:09:25,394][hyperopt.tpe][INFO] - TPE using 114/114 trials with best loss 0.268660
[2024-01-01 12:09:25,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001804 seconds
[2024-01-01 12:09:25,442][hyperopt.tpe][INFO] - TPE using 115/115 trials with best loss 0.268660
[2024-01-01 12:09:25,498][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-01 12:09:25,498][hyperopt.tpe][INFO] - TPE using 116/116 trials with best loss 0.268660
[2024-01-01 12:09:25,561][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001792 seconds
[2024-01-01 12:09:25,561][hyperopt.tpe][INFO] - TPE using 117/117 trials with best loss 0.254745
[2024-01-01 12:09:25,615][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-01 12:09:25,616][hyperopt.tpe][INFO] - TPE using 118/118 trials with best loss 0.254745
[2024-01-01 12:09:25,676][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001770 seconds
[2024-01-01 12:09:25,676][hyperopt.tpe][INFO] - TPE using 119/119 trials with best loss 0.254745
[2024-01-01 12:09:25,729][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001773 seconds
[2024-01-01 12:09:25,729][hyperopt.tpe][INFO] - TPE using 120/120 trials with best loss 0.254745
[2024-01-01 12:09:25,783][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-01 12:09:25,783][hyperopt.tpe][INFO] - TPE using 121/121 trials with best loss 0.254745
[2024-01-01 12:09:25,834][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001772 seconds
[2024-01-01 12:09:25,834][hyperopt.tpe][INFO] - TPE using 122/122 trials with best loss 0.254745
[2024-01-01 12:09:25,969][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001774 seconds
[2024-01-01 12:09:25,969][hyperopt.tpe][INFO] - TPE using 123/123 trials with best loss 0.254745
[2024-01-01 12:09:26,037][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-01 12:09:26,037][hyperopt.tpe][INFO] - TPE using 124/124 trials with best loss 0.254745
[2024-01-01 12:09:26,181][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:26,181][hyperopt.tpe][INFO] - TPE using 125/125 trials with best loss 0.254745
[2024-01-01 12:09:26,339][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001762 seconds
[2024-01-01 12:09:26,339][hyperopt.tpe][INFO] - TPE using 126/126 trials with best loss 0.254745
[2024-01-01 12:09:26,498][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-01 12:09:26,498][hyperopt.tpe][INFO] - TPE using 127/127 trials with best loss 0.254745
[2024-01-01 12:09:26,642][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001754 seconds
[2024-01-01 12:09:26,642][hyperopt.tpe][INFO] - TPE using 128/128 trials with best loss 0.254745
[2024-01-01 12:09:26,786][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001778 seconds
[2024-01-01 12:09:26,786][hyperopt.tpe][INFO] - TPE using 129/129 trials with best loss 0.254745
[2024-01-01 12:09:26,943][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-01 12:09:26,944][hyperopt.tpe][INFO] - TPE using 130/130 trials with best loss 0.254745
[2024-01-01 12:09:27,087][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001768 seconds
[2024-01-01 12:09:27,088][hyperopt.tpe][INFO] - TPE using 131/131 trials with best loss 0.254745
[2024-01-01 12:09:27,246][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001767 seconds
[2024-01-01 12:09:27,246][hyperopt.tpe][INFO] - TPE using 132/132 trials with best loss 0.254745
