[2023-12-01 14:53:26,833][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tuneS_with_day
[2023-12-01 14:53:32,573][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.263258
[2023-12-01 14:53:32,710][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002415 seconds
[2023-12-01 14:53:32,710][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.263258
[2023-12-01 14:53:32,847][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002522 seconds
[2023-12-01 14:53:32,847][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.263258
[2023-12-01 14:53:33,029][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002422 seconds
[2023-12-01 14:53:33,029][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.262718
[2023-12-01 14:53:33,211][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002409 seconds
[2023-12-01 14:53:33,212][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.261990
[2023-12-01 14:53:33,392][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002433 seconds
[2023-12-01 14:53:33,392][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.261990
[2023-12-01 14:53:33,574][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002420 seconds
[2023-12-01 14:53:33,574][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.261990
[2023-12-01 14:53:33,732][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002480 seconds
[2023-12-01 14:53:33,732][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.261990
[2023-12-01 14:53:33,934][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002621 seconds
[2023-12-01 14:53:33,934][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.261990
[2023-12-01 14:53:34,116][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002396 seconds
[2023-12-01 14:53:34,116][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.261990
[2023-12-01 14:53:34,268][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002434 seconds
[2023-12-01 14:53:34,268][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.261990
[2023-12-01 14:53:34,481][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002444 seconds
[2023-12-01 14:53:34,481][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.261990
[2023-12-01 14:53:34,704][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002485 seconds
[2023-12-01 14:53:34,704][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.261990
[2023-12-01 14:53:34,870][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002457 seconds
[2023-12-01 14:53:34,870][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.261990
[2023-12-01 14:53:34,960][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002445 seconds
[2023-12-01 14:53:34,960][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.260952
[2023-12-01 14:53:35,050][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002479 seconds
[2023-12-01 14:53:35,051][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.260952
[2023-12-01 14:53:35,142][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002520 seconds
[2023-12-01 14:53:35,142][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.260952
[2023-12-01 14:53:35,227][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002448 seconds
[2023-12-01 14:53:35,228][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.252861
[2023-12-01 14:53:35,311][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002486 seconds
[2023-12-01 14:53:35,311][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.252861
[2023-12-01 14:53:35,389][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002468 seconds
[2023-12-01 14:53:35,389][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.252861
[2023-12-01 14:53:35,475][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002539 seconds
[2023-12-01 14:53:35,475][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.249788
[2023-12-01 14:53:35,559][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002460 seconds
[2023-12-01 14:53:35,559][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.249788
[2023-12-01 14:53:35,632][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002421 seconds
[2023-12-01 14:53:35,632][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.249788
[2023-12-01 14:53:35,717][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002450 seconds
[2023-12-01 14:53:35,717][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.249788
[2023-12-01 14:53:35,794][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002470 seconds
[2023-12-01 14:53:35,794][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.249788
[2023-12-01 14:53:35,841][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002436 seconds
[2023-12-01 14:53:35,841][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.249788
[2023-12-01 14:53:35,984][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002480 seconds
[2023-12-01 14:53:35,984][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.249788
[2023-12-01 14:53:36,062][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002483 seconds
[2023-12-01 14:53:36,062][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.249788
[2023-12-01 14:53:36,143][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002442 seconds
[2023-12-01 14:53:36,143][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.249788
[2023-12-01 14:53:36,192][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002430 seconds
[2023-12-01 14:53:36,192][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.249788
[2023-12-01 14:53:36,259][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002452 seconds
[2023-12-01 14:53:36,259][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.249788
[2023-12-01 14:53:36,364][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002430 seconds
[2023-12-01 14:53:36,364][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.249788
[2023-12-01 14:53:36,440][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002423 seconds
[2023-12-01 14:53:36,440][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.249788
[2023-12-01 14:53:36,496][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002412 seconds
[2023-12-01 14:53:36,496][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.249788
[2023-12-01 14:53:36,610][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002465 seconds
[2023-12-01 14:53:36,611][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.249788
[2023-12-01 14:53:36,718][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002661 seconds
[2023-12-01 14:53:36,718][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.249788
[2023-12-01 14:53:36,793][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002425 seconds
[2023-12-01 14:53:36,793][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.249788
[2023-12-01 14:53:36,866][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002432 seconds
[2023-12-01 14:53:36,867][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.249788
[2023-12-01 14:53:36,970][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002464 seconds
[2023-12-01 14:53:36,970][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.249788
[2023-12-01 14:53:37,019][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002460 seconds
[2023-12-01 14:53:37,019][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.249788
[2023-12-01 14:53:37,084][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002455 seconds
[2023-12-01 14:53:37,084][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.249788
[2023-12-01 14:53:37,208][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002508 seconds
[2023-12-01 14:53:37,208][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.249788
[2023-12-01 14:53:37,281][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002433 seconds
[2023-12-01 14:53:37,281][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.239297
[2023-12-01 14:53:37,368][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002404 seconds
[2023-12-01 14:53:37,368][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.239297
[2023-12-01 14:53:37,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002439 seconds
[2023-12-01 14:53:37,441][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.239297
[2023-12-01 14:53:37,515][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002459 seconds
[2023-12-01 14:53:37,515][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.239297
[2023-12-01 14:53:37,588][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002419 seconds
[2023-12-01 14:53:37,588][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.239297
[2023-12-01 14:53:37,662][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002493 seconds
[2023-12-01 14:53:37,662][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.239297
[2023-12-01 14:53:37,735][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002422 seconds
[2023-12-01 14:53:37,735][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.239297
[2023-12-01 14:53:37,809][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002458 seconds
[2023-12-01 14:53:37,809][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.239297
[2023-12-01 14:53:37,876][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002451 seconds
[2023-12-01 14:53:37,877][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.239297
[2023-12-01 14:53:37,946][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002438 seconds
[2023-12-01 14:53:37,946][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.239297
[2023-12-01 14:53:38,018][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002432 seconds
[2023-12-01 14:53:38,018][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.239297
[2023-12-01 14:53:38,064][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002494 seconds
[2023-12-01 14:53:38,065][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.239297
[2023-12-01 14:53:38,186][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002454 seconds
[2023-12-01 14:53:38,187][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.239297
[2023-12-01 14:53:38,279][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002428 seconds
[2023-12-01 14:53:38,279][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.239297
[2023-12-01 14:53:38,347][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002417 seconds
[2023-12-01 14:53:38,347][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.239297
[2023-12-01 14:53:38,421][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002455 seconds
[2023-12-01 14:53:38,421][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.239297
[2023-12-01 14:53:38,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002422 seconds
[2023-12-01 14:53:38,492][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.239297
[2023-12-01 14:53:38,565][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002492 seconds
[2023-12-01 14:53:38,565][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.239297
[2023-12-01 14:53:38,659][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.050585 seconds
[2023-12-01 14:53:38,659][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.239297
[2023-12-01 14:53:38,768][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002499 seconds
[2023-12-01 14:53:38,768][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.239297
[2023-12-01 14:53:38,878][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002470 seconds
[2023-12-01 14:53:38,878][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.239297
[2023-12-01 14:53:38,963][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002455 seconds
[2023-12-01 14:53:38,963][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.239297
[2023-12-01 14:53:39,037][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002503 seconds
[2023-12-01 14:53:39,037][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.239297
[2023-12-01 14:53:39,172][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002527 seconds
[2023-12-01 14:53:39,172][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.239297
[2023-12-01 14:53:39,250][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002480 seconds
[2023-12-01 14:53:39,250][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.239297
[2023-12-01 14:53:39,344][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002427 seconds
[2023-12-01 14:53:39,344][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.239297
[2023-12-01 14:53:39,390][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002451 seconds
[2023-12-01 14:53:39,390][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.239297
[2023-12-01 14:53:39,458][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002459 seconds
[2023-12-01 14:53:39,459][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.239297
[2023-12-01 14:53:39,575][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002537 seconds
[2023-12-01 14:53:39,576][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.239297
[2023-12-01 14:53:39,722][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002489 seconds
[2023-12-01 14:53:39,722][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.239297
[2023-12-01 14:53:39,830][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002454 seconds
[2023-12-01 14:53:39,830][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.239297
[2023-12-01 14:53:39,920][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002474 seconds
[2023-12-01 14:53:39,920][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.239297
[2023-12-01 14:53:39,985][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002452 seconds
[2023-12-01 14:53:39,986][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.239297
[2023-12-01 14:53:40,054][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002533 seconds
[2023-12-01 14:53:40,054][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.239297
[2023-12-01 14:53:40,101][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002449 seconds
[2023-12-01 14:53:40,101][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.239297
[2023-12-01 14:53:40,231][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002491 seconds
[2023-12-01 14:53:40,232][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.239297
[2023-12-01 14:53:40,401][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002465 seconds
[2023-12-01 14:53:40,401][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.239297
[2023-12-01 14:53:40,491][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002448 seconds
[2023-12-01 14:53:40,491][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.239297
[2023-12-01 14:53:40,585][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002452 seconds
[2023-12-01 14:53:40,586][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.239297
[2023-12-01 14:53:40,651][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002443 seconds
[2023-12-01 14:53:40,651][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.239297
[2023-12-01 14:53:40,720][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002436 seconds
[2023-12-01 14:53:40,720][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.239297
[2023-12-01 14:53:40,792][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002454 seconds
[2023-12-01 14:53:40,792][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.239297
[2023-12-01 14:53:40,843][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002449 seconds
[2023-12-01 14:53:40,844][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.239297
[2023-12-01 14:53:40,992][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002474 seconds
[2023-12-01 14:53:40,992][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.236282
[2023-12-01 14:53:41,222][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002551 seconds
[2023-12-01 14:53:41,222][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.236282
[2023-12-01 14:53:41,354][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002475 seconds
[2023-12-01 14:53:41,354][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.236282
[2023-12-01 14:53:41,479][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002416 seconds
[2023-12-01 14:53:41,479][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.236282
[2023-12-01 14:53:41,615][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002442 seconds
[2023-12-01 14:53:41,615][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.236282
[2023-12-01 14:53:41,749][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002655 seconds
[2023-12-01 14:53:41,749][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.236282
[2023-12-01 14:53:41,920][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002536 seconds
[2023-12-01 14:53:41,921][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.236282
[2023-12-01 14:53:42,058][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002426 seconds
[2023-12-01 14:53:42,059][hyperopt.tpe][INFO] - TPE using 113/113 trials with best loss 0.236282
[2023-12-01 14:53:42,207][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002453 seconds
[2023-12-01 14:53:42,207][hyperopt.tpe][INFO] - TPE using 114/114 trials with best loss 0.236282
[2023-12-01 14:53:42,341][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002426 seconds
[2023-12-01 14:53:42,341][hyperopt.tpe][INFO] - TPE using 115/115 trials with best loss 0.236282
[2023-12-01 14:53:42,446][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002456 seconds
[2023-12-01 14:53:42,446][hyperopt.tpe][INFO] - TPE using 116/116 trials with best loss 0.236282
[2023-12-01 14:53:42,534][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002490 seconds
[2023-12-01 14:53:42,534][hyperopt.tpe][INFO] - TPE using 117/117 trials with best loss 0.236282
[2023-12-01 14:53:42,684][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002436 seconds
[2023-12-01 14:53:42,684][hyperopt.tpe][INFO] - TPE using 118/118 trials with best loss 0.236282
[2023-12-01 14:53:42,741][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002464 seconds
[2023-12-01 14:53:42,741][hyperopt.tpe][INFO] - TPE using 119/119 trials with best loss 0.236282
[2023-12-01 14:53:42,852][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002440 seconds
[2023-12-01 14:53:42,853][hyperopt.tpe][INFO] - TPE using 120/120 trials with best loss 0.236282
[2023-12-01 14:53:42,950][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002455 seconds
[2023-12-01 14:53:42,950][hyperopt.tpe][INFO] - TPE using 121/121 trials with best loss 0.236282
[2023-12-01 14:53:43,120][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002451 seconds
[2023-12-01 14:53:43,120][hyperopt.tpe][INFO] - TPE using 122/122 trials with best loss 0.236282
[2023-12-01 14:53:43,255][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002503 seconds
[2023-12-01 14:53:43,255][hyperopt.tpe][INFO] - TPE using 123/123 trials with best loss 0.236282
[2023-12-01 14:53:43,301][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002444 seconds
[2023-12-01 14:53:43,301][hyperopt.tpe][INFO] - TPE using 124/124 trials with best loss 0.236282
[2023-12-01 14:53:43,395][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002486 seconds
[2023-12-01 14:53:43,395][hyperopt.tpe][INFO] - TPE using 125/125 trials with best loss 0.236282
[2023-12-01 14:53:43,521][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002505 seconds
[2023-12-01 14:53:43,521][hyperopt.tpe][INFO] - TPE using 126/126 trials with best loss 0.236282
[2023-12-01 14:53:43,655][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002456 seconds
[2023-12-01 14:53:43,655][hyperopt.tpe][INFO] - TPE using 127/127 trials with best loss 0.236282
[2023-12-01 14:53:43,740][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002559 seconds
[2023-12-01 14:53:43,741][hyperopt.tpe][INFO] - TPE using 128/128 trials with best loss 0.236282
[2023-12-01 14:53:43,791][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002445 seconds
[2023-12-01 14:53:43,791][hyperopt.tpe][INFO] - TPE using 129/129 trials with best loss 0.236282
[2023-12-01 14:53:43,871][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002467 seconds
[2023-12-01 14:53:43,872][hyperopt.tpe][INFO] - TPE using 130/130 trials with best loss 0.236282
[2023-12-01 14:53:44,032][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002475 seconds
[2023-12-01 14:53:44,032][hyperopt.tpe][INFO] - TPE using 131/131 trials with best loss 0.236282
[2023-12-01 14:53:44,153][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002441 seconds
[2023-12-01 14:53:44,154][hyperopt.tpe][INFO] - TPE using 132/132 trials with best loss 0.236282
